page_id,page_namespace,page_title,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
6678,0,Laugh,1,0,0.13279760914,bytearray(b'20230811165806'),bytearray(b'20230223003003'),756330,22,bytearray(b'wikitext'),
48241,1,Laugh,0,1,0.036697518413,bytearray(b'20230225030257'),bytearray(b'20230225030257'),448029,110,bytearray(b'wikitext'),
126474,0,Laughter,0,0,0.179834271736,bytearray(b'20230811165805'),bytearray(b'20230811165805'),3344228,33803,bytearray(b'wikitext'),
48240,1,Laughter,0,0,0.766399978063,bytearray(b'20220903035042'),bytearray(b'20220903010139'),1543839,2416,bytearray(b'wikitext'),
35795,14,Law,0,0,0.338340043459,bytearray(b'20231103061520'),bytearray(b'20231102142430'),3392446,292,bytearray(b'wikitext'),
131211,1,Law,0,0,0.916748358917,bytearray(b'20220903040716'),bytearray(b'20220903010700'),2873194,14223,bytearray(b'wikitext'),
126476,0,Law,0,0,0.874859024988,bytearray(b'20231223075608'),bytearray(b'20231223075608'),3427438,156838,bytearray(b'wikitext'),
34657,0,Laws,1,0,0.834593791623,bytearray(b'20231223075609'),bytearray(b'20230223053122'),315437,17,bytearray(b'wikitext'),
19007,1,Leadership,0,0,0.732167887868,bytearray(b'20231121000331'),bytearray(b'20220903005904'),2200155,12641,bytearray(b'wikitext'),
4375,0,Leadership,0,0,0.305584746948,bytearray(b'20231231144707'),bytearray(b'20231231144814'),3419666,46466,bytearray(b'wikitext'),
142529,0,Learn,1,1,0.532466804098,bytearray(b'20230816135938'),bytearray(b'20230226184100'),1543328,22,bytearray(b'wikitext'),
126477,0,Learning,0,0,0.255973467488,bytearray(b'20240101055426'),bytearray(b'20240101055454'),3346034,30542,bytearray(b'wikitext'),
4127,1,Learning,0,0,0.273003575519,bytearray(b'20230311120457'),bytearray(b'20230311120457'),2151957,5436,bytearray(b'wikitext'),
181710,0,Left-wing_politics,0,0,0.959270779072,bytearray(b'20231125080658'),bytearray(b'20231125080705'),3350195,12942,bytearray(b'wikitext'),
204364,14,Left-wing_politics,0,0,0.905509611473,bytearray(b'20230602115225'),bytearray(b'20230602115317'),2391785,109,bytearray(b'wikitext'),
193449,1,Left-wing_politics,0,1,0.229273738591,bytearray(b'20230607195327'),bytearray(b'20230607195327'),2214451,618,bytearray(b'wikitext'),
55640,0,Leo_Strauss,0,0,0.070858481698,bytearray(b'20231029145841'),bytearray(b'20231029145841'),3389012,39970,bytearray(b'wikitext'),
4297,1,Leo_Tolstoy,0,0,0.915674296921,bytearray(b'20210930150617'),bytearray(b'20210314135506'),2939346,10417,bytearray(b'wikitext'),
143,0,Leo_Tolstoy,0,0,0.845758254568,bytearray(b'20231228220127'),bytearray(b'20231228220151'),3420344,186852,bytearray(b'wikitext'),
204858,14,Leo_Tolstoy,0,0,0.8585690753,bytearray(b'20230914163716'),bytearray(b'20230914163644'),3363299,57,bytearray(b'wikitext'),
2780,0,Leon_Trotsky,0,0,0.082804687825,bytearray(b'20231221052857'),bytearray(b'20231221052857'),3425430,99727,bytearray(b'wikitext'),
89660,1,Leon_Trotsky,0,0,0.842713697044,bytearray(b'20230711180830'),bytearray(b'20230711180829'),2614974,4747,bytearray(b'wikitext'),
1672,0,Leonardo_da_Vinci,0,0,0.672249517717,bytearray(b'20231222131753'),bytearray(b'20231222131730'),3426634,102590,bytearray(b'wikitext'),
9751,1,Leonardo_da_Vinci,0,0,0.339659000979,bytearray(b'20231230210545'),bytearray(b'20231230210521'),3433763,14107,bytearray(b'wikitext'),
6631,0,Leonhard_Euler,0,0,0.474424672931,bytearray(b'20231017182930'),bytearray(b'20231017182942'),3369322,27797,bytearray(b'wikitext'),
